"","n1","log_2_n2","power_welch","power_t","fdr_welch","fdr_t","diff_p_value"
"116",7,16,0.68192,0.6819,0.089005508518669,0.0889851131268423,0.0433034852213061
"117",7,17,0.68128,0.68128,0.0888436467232884,0.0888436467232884,0.0216560566407674
"118",7,18,0.68058,0.68058,0.0887022827619571,0.0886789905164198,0.0108025162202925
"119",7,19,0.6812,0.6812,0.0887305593699716,0.0887078441618929,0.00540817338380709
"120",7,20,0.68104,0.68104,0.0885517014547849,0.0885517014547849,0.00270352498124527
"121",7,21,0.68086,0.68086,0.0886495673083938,0.0886495673083938,0.00134966711763045
"122",7,22,0.6826,0.6826,0.0883954679076381,0.0883954679076381,0.000675693918129739
"123",7,23,0.68092,0.68092,0.0887001666219573,0.0887001666219573,0.000337525743313958
"124",7,24,0.68098,0.68098,0.0887700646216414,0.0887700646216414,0.000168488256209171
"125",7,25,0.68116,0.68116,0.0886918591138569,0.0886918591138569,8.4340285964276e-05
"126",8,1,0.34162,0.77692,0.272374877137707,0.646384612701002,775.307012313925
"127",8,2,0.56726,0.74516,0.0900379625034558,0.456252132275089,524.727155746284
"128",8,3,0.68026,0.73572,0.0850538704142081,0.279798827253612,321.634480346478
"129",8,4,0.7135,0.7278,0.106037762495083,0.182924932541619,183.451509981987
"130",8,5,0.723,0.72394,0.109908276585773,0.131871723879366,98.8081237777871
"131",8,6,0.72278,0.7208,0.108229556638818,0.109311079800267,51.1101067082608
"132",8,7,0.7215,0.71916,0.102047325478637,0.0985625939081015,25.9657656633986
"133",8,8,0.7171,0.71568,0.097762514947158,0.0942966298477164,13.0790823568239
"134",8,9,0.72076,0.72,0.0934631398901299,0.0909944553604832,6.5426441758754
"135",8,10,0.72046,0.72,0.0912074056218376,0.0895404527440826,3.27605773574912
"136",8,11,0.71856,0.71838,0.0893611108689237,0.088579931675224,1.64091037864831
"137",8,12,0.71906,0.71894,0.0887292332378253,0.0884641157034033,0.819282148198206
"138",8,13,0.71794,0.71778,0.088416868895599,0.0882213357094727,0.40994660895381
"139",8,14,0.71804,0.71804,0.0875362916435856,0.0875119590803278,0.205091159745823
"140",8,15,0.71822,0.71822,0.0874980987988895,0.0874275781923476,0.102482821497574
"141",8,16,0.71738,0.71734,0.0874717565524064,0.0874292742629827,0.0511397851647213
"142",8,17,0.7173,0.7173,0.0872151704857659,0.0871943583604407,0.0255720010863236
"143",8,18,0.71788,0.71788,0.0873018491120658,0.0873018491120658,0.012826879730941
"144",8,19,0.71786,0.71786,0.0872924245150827,0.0872924245150827,0.00640410527640366
"145",8,20,0.7182,0.7182,0.0871790203714361,0.0871569441079805,0.00321102711241276
"146",8,21,0.7181,0.7181,0.0874426403605773,0.0874426403605773,0.00160272343525172
"147",8,22,0.71718,0.71718,0.0873950870613521,0.0873950870613521,0.000800765327314342
"148",8,23,0.71712,0.71712,0.0874395946502169,0.0874395946502169,0.000400614472203128
"149",8,24,0.7174,0.7174,0.0873261824881241,0.0873261824881241,0.000200678691470591
"150",8,25,0.71752,0.71752,0.087333778670965,0.087333778670965,0.000100325346767054
"151",9,1,0.34924,0.79926,0.316160471502125,0.680328095710453,817.932474183333
"152",9,2,0.59254,0.78254,0.0953053336982647,0.500222745680585,565.356238853686
"153",9,3,0.69824,0.76212,0.0869753880954022,0.316258950944961,353.234106590731
"154",9,4,0.73418,0.75412,0.0987073365528865,0.197978573600012,204.494785831441
"155",9,5,0.74342,0.74818,0.103922069251789,0.138440313600907,111.141813594911
"156",9,6,0.74724,0.74792,0.104188946238696,0.113332441309204,58.2687407637762
"157",9,7,0.74548,0.74518,0.0995057764736315,0.10103964736924,29.7717426287925
"158",9,8,0.74744,0.74688,0.0958562416801046,0.0951804187620186,15.0038937798506
"159",9,9,0.74834,0.7479,0.0930092500206103,0.0918917270473111,7.56098406118111
"160",9,10,0.74834,0.74798,0.0919500130878794,0.0910498925674223,3.78579106718321
"161",9,11,0.74684,0.74672,0.0912658019373896,0.0908840010955103,1.8976689748467
"162",9,12,0.74802,0.74796,0.0903444520078083,0.0901751345903428,0.947244034890224
"163",9,13,0.74758,0.7475,0.0903228763112111,0.0902607848541175,0.473775846417037
"164",9,14,0.74876,0.74876,0.0899606191385524,0.0899149901988298,0.236505164718035
"165",9,15,0.7486,0.7486,0.0896778064168605,0.0896778064168605,0.118323837688902
"166",9,16,0.7498,0.7498,0.0896176717180794,0.0895946832123323,0.0591083664662256
"167",9,17,0.74928,0.74928,0.0893737198365103,0.0893737198365103,0.0296111528963335
"168",9,18,0.75008,0.75006,0.0897474573568661,0.0897498439917109,0.0147864257942027
"169",9,19,0.74936,0.74936,0.0892591882842007,0.0892591882842007,0.0073983908848833
"170",9,20,0.74924,0.74924,0.0892505016434157,0.0892505016434157,0.00369997225005427
"171",9,21,0.7501,0.7501,0.0896134599650397,0.0896134599650397,0.0018478633052951
"172",9,22,0.74998,0.74998,0.08958599005393,0.08958599005393,0.000924291082748478
"173",9,23,0.74984,0.74984,0.0896699632018711,0.0896699632018711,0.000462471730594295
"174",9,24,0.7499,0.7499,0.0896588006371341,0.0896588006371341,0.000231343696790041
"175",9,25,0.74974,0.74974,0.0896693344719633,0.0896693344719633,0.000115586453834142
